,Symbol
0,IDEA
1,YESBANK
2,SUZLON
3,NMDC
4,NHPC
5,IDFCFIRSTB
6,GMRAIRPORT
7,NBCC
8,PNB
9,IREDA
10,BANDHANBNK
11,IEX
12,CANBK
13,UNIONBANK
14,ASHOKLEY
15,TATASTEEL
16,ONGC
17,ETERNAL
18,JIOFIN
19,BHEL
20,MANAPPURAM
21,BANKBARODA
22,NATIONALUM
23,TMPV
24,NTPC
25,ITC
26,PFC
27,BIOCON
28,BEL
29,COALINDIA
30,OIL
31,VEDL
32,HINDZINC
33,ICICIPRULI
34,HDFCBANK
35,SBIN
36,RELIANCE
37,HCLTECH
38,TCS
39,IRFC
40,SAIL
41,SAMMAANCAP
42,IOC
43,RECLTD
44,BPCL
45,HINDPETRO
46,INDUSTOWER
47,LTF
48,WIPRO
49,POWERGRID
50,RBLBANK
51,DABUR
52,MOTHERSON
53,INOXWIND
54,GAIL
55,HUDCO
56,TATAPOWER
57,ABCAPITAL
58,CROMPTON
59,FEDERALBNK
60,HINDALCO
61,AXISBANK
62,ICICIBANK
63,KALYANKJIL
64,TATATECH
65,CGPOWER
66,NYKAA
67,PGEL
68,DLF
